date,machine_name,region_id,sex
2015-06-13,GGSM-001,1,female
2015-06-13,GGSM-001,2,male
2015-06-13,GGSM-001,3,male
2015-06-13,GGSM-001,4,female
2015-06-13,GGSM-001,5,female
2015-06-13,GGSM-001,6,female
2015-06-13,GGSM-001,7,male
2015-06-13,GGSM-001,9,female
2015-06-13,GGSM-001,11,female
2015-06-13,GGSM-001,12,female
2015-06-13,GGSM-001,13,male
2015-06-13,GGSM-001,14,female
2015-06-13,GGSM-001,15,female
2015-06-13,GGSM-001,16,male
2015-06-13,GGSM-001,17,male
2015-06-13,GGSM-001,18,female
2015-06-13,GGSM-001,19,male
2015-06-13,GGSM-001,20,female
2015-06-13,GGSM-003,1,male
2015-06-13,GGSM-003,2,male
2015-06-13,GGSM-003,3,female
2015-06-13,GGSM-003,4,female
2015-06-13,GGSM-003,6,male
2015-06-13,GGSM-003,7,male
2015-06-13,GGSM-003,8,male
2015-06-13,GGSM-003,9,female
2015-06-13,GGSM-003,10,male
2015-06-13,GGSM-003,11,male
2015-06-13,GGSM-003,12,male
2015-06-13,GGSM-003,13,male
2015-06-13,GGSM-003,14,female
2015-06-13,GGSM-003,15,female
2015-06-13,GGSM-003,16,male
2015-06-13,GGSM-003,17,female
2015-06-13,GGSM-003,18,female
2015-06-13,GGSM-003,19,female
2015-06-13,GGSM-003,20,female
2015-06-13,GGSM-004,1,male
2015-06-13,GGSM-004,2,female
2015-06-13,GGSM-004,3,female
2015-06-13,GGSM-004,4,male
2015-06-13,GGSM-004,5,female
2015-06-13,GGSM-004,6,female
2015-06-13,GGSM-004,7,male
2015-06-13,GGSM-004,8,female
2015-06-13,GGSM-004,9,female
2015-06-13,GGSM-004,10,female
2015-06-13,GGSM-004,11,male
2015-06-13,GGSM-004,12,female
2015-06-13,GGSM-004,13,female
2015-06-13,GGSM-004,14,female
2015-06-13,GGSM-004,15,male
2015-06-13,GGSM-004,16,female
2015-06-13,GGSM-004,17,male
2015-06-13,GGSM-004,19,male
2015-06-13,GGSM-004,20,female
